model,block,knot,t,group,n_token_frames,prefix_mass_mean,prefix_mass_std,patch_mass_mean,patch_mass_std,entropy_mean,entropy_std,top1_prob_mean,top1_prob_std,dist_to_own_mean,dist_to_own_std,own_mass_mean,own_mass_std
frozen,11,24,0.1111111111111112,visible,81247,0.8925051689147949,0.010095905512571335,0.1074947640299797,0.010095905512571335,0.830775797367096,0.022079719230532646,0.04533790051937103,0.0165777038782835,22.123117446899414,7.944281101226807,0.003541481913998723,0.006564804818481207
frozen,11,24,0.1111111111111112,occluded,180953,0.8957594633102417,0.00968257337808609,0.10424049943685532,0.00968257337808609,0.8289680480957031,0.023322556167840958,0.04546981304883957,0.016144566237926483,23.97710418701172,6.715167999267578,0.0029296944849193096,0.005058493930846453
frozen,23,24,0.1111111111111112,visible,81247,0.8968104124069214,0.0253148190677166,0.10318966209888458,0.02531481720507145,0.9128632545471191,0.01693538762629032,0.010447497479617596,0.003970086108893156,8.406259536743164,5.104321479797363,0.003021153388544917,0.003469108836725354
frozen,23,24,0.1111111111111112,occluded,180953,0.9000293016433716,0.031174613162875175,0.09997072070837021,0.031174613162875175,0.9079864621162415,0.018524495884776115,0.010985450819134712,0.004586727358400822,8.164006233215332,4.8367509841918945,0.0030558458529412746,0.0029325056821107864
rung15,0,0,1.0,visible,81247,0.9851232767105103,0.014127259142696857,0.014876714907586575,0.014127259142696857,0.8222494721412659,0.054662201553583145,0.026898808777332306,0.016006523743271828,12.114813804626465,5.117051601409912,0.0006975707365199924,0.0014869372826069593
rung15,0,0,1.0,occluded,180953,0.9849272966384888,0.014198638498783112,0.01507265493273735,0.014198638498783112,0.8250442743301392,0.06397060304880142,0.0293049868196249,0.02190469391644001,12.134754180908203,4.869144916534424,0.0007483760127797723,0.001711873454041779
rung15,11,0,1.0,visible,81247,0.4940437078475952,0.08375720679759979,0.5059562921524048,0.08375721424818039,0.7297179698944092,0.031037475913763046,0.06512375175952911,0.035993557423353195,5.046176433563232,5.128849983215332,0.014486392959952354,0.027072660624980927
rung15,11,0,1.0,occluded,180953,0.5202724933624268,0.08144181966781616,0.47972747683525085,0.08144181966781616,0.7413541078567505,0.03656917065382004,0.04889660328626633,0.0260148998349905,7.551926612854004,6.685878276824951,0.008518184535205364,0.015997592359781265
rung15,23,0,1.0,visible,81247,0.11670738458633423,0.09485220164060593,0.8832926154136658,0.09485220164060593,0.7169854044914246,0.03135502338409424,0.047392938286066055,0.012830623425543308,8.66469955444336,4.782494068145752,0.00384128768928349,0.007303451653569937
rung15,23,0,1.0,occluded,180953,0.11253462731838226,0.09330527484416962,0.8874654173851013,0.09330527484416962,0.7097539901733398,0.029657525941729546,0.047926463186740875,0.013031835667788982,8.717485427856445,4.909462928771973,0.003205779707059264,0.006591019220650196
rung15,0,12,0.7647058823529412,visible,81247,0.9711444973945618,0.022427888587117195,0.02885556034743786,0.022427886724472046,0.8603288531303406,0.03228062391281128,0.03410273417830467,0.016402151435613632,9.530375480651855,5.542654514312744,0.0019931765273213387,0.005306390579789877
rung15,0,12,0.7647058823529412,occluded,180953,0.9685598015785217,0.02358289249241352,0.03144032880663872,0.02358289435505867,0.8539006114006042,0.0442245751619339,0.038028325885534286,0.029424699023365974,9.669024467468262,5.522643089294434,0.001715499791316688,0.004977364093065262
rung15,11,12,0.7647058823529412,visible,81247,0.4913991093635559,0.07466264069080353,0.5086009502410889,0.07466264814138412,0.7476667165756226,0.030878089368343353,0.05095743015408516,0.029560117051005363,5.109490394592285,5.008669853210449,0.013454885222017765,0.022558094933629036
rung15,11,12,0.7647058823529412,occluded,180953,0.5189589262008667,0.07342720031738281,0.4810411036014557,0.07342720776796341,0.7590150237083435,0.035881735384464264,0.03760414570569992,0.019427809864282608,6.921586036682129,5.770322322845459,0.007672689855098724,0.012853872962296009
rung15,23,12,0.7647058823529412,visible,81247,0.09385410696268082,0.06907346844673157,0.9061458706855774,0.06907347589731216,0.7081323862075806,0.02892962470650673,0.050116896629333496,0.014419914223253727,8.331320762634277,4.5600786209106445,0.004084138199687004,0.007832330651581287
rung15,23,12,0.7647058823529412,occluded,180953,0.08302786946296692,0.06615510582923889,0.9169720411300659,0.06615510582923889,0.7027690410614014,0.02819301374256611,0.05030476301908493,0.01382341980934143,8.384325981140137,4.613739013671875,0.0034464607015252113,0.0071772923693060875
rung15,0,24,0.1111111111111112,visible,81247,0.9891102910041809,0.012467347085475922,0.010889723896980286,0.012467347085475922,0.8271147012710571,0.04846576601266861,0.04938097298145294,0.02116001583635807,10.767990112304688,5.797397613525391,0.0024904196616262197,0.008667056448757648
rung15,0,24,0.1111111111111112,occluded,180953,0.9885214567184448,0.011820054613053799,0.011478457599878311,0.011820054613053799,0.8272659182548523,0.05167246237397194,0.04856007918715477,0.021887576207518578,10.872429847717285,5.524814605712891,0.0018097474239766598,0.00604082178324461
rung15,11,24,0.1111111111111112,visible,81247,0.6341598629951477,0.06301239877939224,0.3658401668071747,0.06301239877939224,0.7521417140960693,0.030277607962489128,0.04322795942425728,0.02739020064473152,6.025814533233643,5.363479137420654,0.012571861036121845,0.021037599071860313
rung15,11,24,0.1111111111111112,occluded,180953,0.6530842781066895,0.059146203100681305,0.34691572189331055,0.059146203100681305,0.7672958374023438,0.032154057174921036,0.0334593802690506,0.015957139432430267,7.504321575164795,5.7096076011657715,0.0070099178701639175,0.010437403805553913
rung15,23,24,0.1111111111111112,visible,81247,0.08905456215143204,0.07643379271030426,0.910945475101471,0.07643378525972366,0.7402397394180298,0.030071483924984932,0.044062357395887375,0.012324740178883076,8.626559257507324,4.809362888336182,0.0036632155533879995,0.0071043879725039005
rung15,23,24,0.1111111111111112,occluded,180953,0.08107264339923859,0.06880341470241547,0.9189274311065674,0.06880341470241547,0.737496554851532,0.028782006353139877,0.0426364503800869,0.011873860843479633,8.644718170166016,5.096988201141357,0.003260256489738822,0.006331914570182562
